Name,Tender Name,Tender Type,Package No,Post Date,Closing Date,Currency,Price of Tender Document,Tender Description,Additional Information,Source of Funds,No. of Lots,Agency,Region,District,Contact Person,Email,Telphone,Fax,Website
Supply Of Cleaning Materials,Supply of CLEANING MATERIALS,NCT,STU/NCT/FWA/GDS/2025/005,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Supply of CLEANING MATERIALS,"1.	The Sunyani Technical University intends to apply part of its Internally Generated Fund (IGF) to fund eligible payments under Call-off Contracts that may be awarded under the Framework Agreements (FWAs) concluded through this IFT Primary Procurement process for the Procurement of Stationery, Toners, Drugs, Medical Consumables and  Cleaning Materials.

2.	The Sunyani Technical University is undertaking the Primary Procurement with a view to concluding Framework Agreements. The Sunyani Technical University is the sole Entity under the Framework Agreement[s]. 

3.	 The Sunyani Technical University now invites sealed Tenders from eligible Tenderers for the Procurement of Stationery, Toners, Drugs, Medical Consumables and Cleaning Materials over the Term of the Framework Agreement(s).


4.	The Framework Agreement to be concluded will be “Single-User.” “The Single-User entitled to procure under the Framework Agreement is Sunyani Technical University.

5.	Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and The Guidelines on Framework Agreement issued by the Public Procurement Authority.

6.	Tenderers may submit Tenders for one or more “lots”. However, contract will be awarded on Lot basis

7.	The Framework Agreement(s) shall be concluded for a Term of One (1) year from the commencement date stated in the Framework Agreement. 

8.	The Primary Procurement shall establish a Closed Framework Agreement(s). This means no new firm(s) may conclude Framework Agreement during the Term of Framework Agreement.

9.	Interested eligible Tenderers may obtain further information from The Procurement unit, First Floor, Stores Block, Sunyani Technical University, Sunyani and inspect the Tender document during office hours from 8:30am to 5:00pm. 

10.	 A complete set of Tender documents in English may be purchased by interested Tenderers to the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for the tender document. The document will be obtained personally. 

11.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University on or before 10:00 hours GMT, Thursday 15th   May, 2025.

12.	Tenders shall be valid for a period of 365 days after the deadline of Tender submission. All Tenders must be accompanied by a completed tender securing declaration. Late Tenders will be rejected. 

13.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th   May, 2025.


14.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly demanded: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Pharmacy Council License Certificate( for Drugs)
•	Food and Drug Authority (FDA) Certificate( for Drugs)
•	Completed Tender Securing Declaration.

Address for Inspecting and purchasing Tender Documents
For further enquiries please contact:",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Procurement Of Desktop Computers,Procurement of Desktop Computers,NCT,STU/NCT/GDS/2025/001,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Procurement of Desktop Computers,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Procurement Of Multifunctional Photocopiers,Procurement of Multifunctional Photocopiers,NCT,STU/NCT/GDS/2025/002,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Procurement of Multifunctional Photocopiers,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Supply Of Multifunctional Printers,Supply of Multifunctional Printers,NCT,STU/NCT/GDS/2025/003,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Supply of Multifunctional Printers,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Supply Of Projectors,Supply of Projectors,NCT,STU/NCT/GDS/2025/004,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Supply of Projectors,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Procurement Of Pick-up Vehicle,Procurement of Pick-up Vehicle,NCT,STU/NCT/GDS/2025/005,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Procurement of Pick-up Vehicle,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Procurement Of Saloon Car,Procurement of Saloon Car,NCT,STU/NCT/GDS/2025/006,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Procurement of Saloon Car,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Procurement Of Air Conditioners,Procurement of Air Conditioners,NCT,STU/NCT/GDS/2025/007,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Procurement of Air Conditioners,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Solar Power Installation,Solar Power Installation,NCT,STU/NCT/WKS/2025/001,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,Solar Power Installation,"1.	 The Sunyani Technical University now invites sealed Tenders from Interested eligible tenderers for the Procurement of the above goods and works. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003 (ACT 663), as Amended, and in the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
2.	Tenderers may submit Tenders for one or more “LOTS”.

3.	Interested eligible tenderers may obtain further information from the Procurement Unit, First Floor, Stores Block, Sunyani Technical University and inspect the Tender documents at the address given below from 8:30am to 5:00pm.

4.	A complete set of Tender documents in English may be purchased by interested Tenderers at the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for each of the tender document. 
5.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University, on or before 10:00 hours GMT, Thursday 15th  May, 2025.

5.	Tenders shall be valid for a period of 90 days after the deadline of Tender submission. All Tenders must be accompanied by a Tender Security of two percent (2%) of the total tender price. Late Tenders will be rejected. 

6.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th  May, 2025.


7.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly required: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Valid Ministry of Works and Housing Certificate (for Works)
•	Valid Labour Certificate(for Works)
•	Tender Security of 2% of the total tender price.


Address for Inspecting and purchasing Tender Documents

Name of Office: 			THE REVENUE UNIT 
						SUNYANI TECHNICAL UNIVERSITY
						POST OFFICE BOX 206, 
						SUNYANI, BONO REGION
For further enquiries please contact:

		 			THE PROCUREMENT OFFICER	
					SUNYANI TECHNICAL UNIVERSITY
					P.O.BOX 206
					SUNYANI-BONO REGION",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Completion Of External Works For 5no. Prefabricated Office Buildings,Completion of External Works for 5no. Prefabricated Office Buildings,NCT,NEDCo/WKS/028/2025,"14th April, 2025","09th May, 2025",Ghana Cedi,Gh¢300.00,"Completion of External Works for five (5) prefabricated office buildings at Hain, Akomadan, Atebubu, Kete Krachi, and Tepa.","NEDCo intends to apply part of its budgetary allocation for the Completion of External Works for Prefabricated Office Buildings at Hain, Akomadan, Atebubu, Tepa, and Kete Krachi",Internally Generated Funds,Not applicable,Northern Electricity Distribution Company (NEDCo),Nothern Region,Tamale Metropolitan District,Procurement Manager,twumasi.ankrah@nedcogh.com,0372099016,,
Supply Of Office And Domestic Equipment,Supply of Office and Domestic Equipment,NCT,NEDCo/GD/022/2025,"14th April, 2025","09th May, 2025",Ghana Cedi,Gh¢300.00,Supply of Office and Domestic Equipment,NEDCo wishes to apply part of its budgetary allocation for the Supply of Office and Domestic Equipment.,Internally Generated Funds,Not applicable,Northern Electricity Distribution Company (NEDCo),Nothern Region,Tamale Metropolitan District,Procurement Manager,twumasi.ankrah@nedcogh.com,0372099016,,
Supply Of Office Furniture,Supply of Office Furniture,NCT,NEDCo/GD/014/2025,"14th April, 2025","09th May, 2025",Ghana Cedi,Gh¢300.00,Supply of Office Furniture,NEDCo intends to apply part of its budgetary allocation for the supply of Office Furniture,Internally Generated Funds,Not applicable,Northern Electricity Distribution Company (NEDCo),Nothern Region,Tamale Metropolitan District,Procurement Manager,twumasi.ankrah@nedcogh.com,0372099016,,
Procurement Of Tyres,PROCUREMENT OF TYRES,NCT,GR/GNPC/TYR/GOODS/2025/22,"14th April, 2025","07th May, 2025",Ghana Cedi,Gh¢300.00,The Ghana National Petroleum Corporation (GNPC) intends to apply part of its budgetary allocation to fund eligible payments under Call-off Contracts that may be awarded under the Procurement of Tyres for Corporate Vehicles concluded through this IFT Primary Procurement process.,"Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines of the Public Procurement Authority of the Republic of Ghana. 
1.	The Procurement Entity is undertaking Primary Procurement with a view to concluding Framework Agreements. The Procurement Entity is the sole Entity under the Framework Agreements.  The Procurement Entity now invites sealed Tenders from eligible Tenderers for the Supply of approximately Two Hundred and Forty (240) vehicle tyres for a two (2) year’s period to be delivered at the GNPC Head Office in Tema
2.	The Framework Agreements to be concluded will be Single-User (Ghana National Petroleum Corporation) with Multi-Suppliers.
3.	The selection of an FWA Supplier to be awarded a Call-off Contract will be done through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure Goods under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Supplier will be awarded a Call-off Contract.  
4.	The Framework Agreements shall be concluded for a Term of Two (2) years from the commencement date stated in the Framework Agreement and subject to an extension of one (1) year based on satisfactory performance.
5.	Interested eligible tenderers may obtain further information and inspect the tender documents at the Supply Chain Department of GNPC at the address indicated below from Monday, April 14, 2024, between the hours of 9:00 am to 12:30 pm and 1:30 pm to 4:00 pm on working days.
6.	A complete set of the tender documents in English may be purchased by interested tenderers upon submission of a written application to the address below and upon payment of a non-refundable fee of Three Hundred Ghana Cedis (GHS 300.00). The method of payment shall be made in Cash. 
7.	Tenders must be in sealed envelopes marked with the package name and number and delivered to the address stated in the Tender Document. 
8.	Tenders shall be valid for a period of 850 days after the deadline for tender submission and must be accompanied by a Tender Securing Declaration.
9.	Tenders will be opened in the presence of tenderers or their representatives who choose to attend the opening at the 5th Floor Conference Room, Petroleum House on May 7, 2025 at 2:00pm.

10.	ADDRESS FOR PURCHASING AND SUBMISSION OF TENDERS: 
GHANA NATIONAL PETROLEUM CORPORATION 
1ST FLOOR, PETROLEUM HOUSE
TEMA.
TELEPHONE: +233 303 206020 (2817)
11.	Tenderers should submit the following valid documents as part of their tender: Certificate of Registration, manufacturer’s/Dealer’s authorization letter, Power of Attorney, GRA Tax Clearance, VAT Registration, SSNIT Clearance, PPA Registration Certificates and 3 years Audited Financial Statement",Internally Generated Funds,1,Ghana National Petroleum Corporation,Greater Accra,Tema Metropolitan District,"The Chief Executive Attn: The Head Of Supply Chain, Ghana National Petroleum Corporation 1st Floor, Petroleum House Tema.",tender@gnpcghana.com,+233-303-206020,,
